namespace,microservices
cluster,eu
window,24h
oom_window,14d
target_util,0.700000
safety_factor,1.150000

container,mem_p95_ratio,cpu_p95_ratio,mem_request_bytes,mem_recommended_bytes,cpu_request_cores,cpu_recommended_cores,oom_killed,cpu_decision,memory_decision,jvm_heap_decision,jvm_non_heap_decision
policy-enforcer,0.014884,0.001484,1048576000,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
report-processor-s3,0.020224,0.001273,536870912,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
runtime-report-ingestion,0.020504,0.000807,1073741824,67108864,0.500000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
cloudscanner-janitor,0.035577,0.001347,536870912,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
onboarding-service,0.042332,0.001708,858993460,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
customer-asset-collector,0.050134,0.221797,8589934592,738197504,2.000000,0.730000,false,REDUCE,REDUCE,KEEP,KEEP
cloudscanner-dspm-api,0.051133,0.000943,536870912,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
shiftleft-server,0.115773,0.002589,268435456,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
console-ui-renderer,0.135220,0.004939,2147483648,536870912,0.500000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
cloudscanner,0.186018,0.247464,524288000,201326592,0.200000,0.090000,false,REDUCE,REDUCE,KEEP,KEEP
s3-auth-service,0.215798,0.004259,52428800,67108864,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
integration-github,0.226482,0.000806,536870912,201326592,0.500000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
vulnerabilities-scanner-v0524,0.234258,0.196479,6291456000,6291456000,1.000000,1.000000,true,REDUCE,SKIP_OOM,KEEP,KEEP
compliance-analyzer-worker-azure,0.249381,4.519983,2147483648,939524096,0.200000,1.490000,false,SKIP_THROTTLING,REDUCE,KEEP,KEEP
compliance-analyzer-worker-gcp,0.257134,0.164142,2147483648,939524096,3.000000,0.810000,false,SKIP_THROTTLING,REDUCE,KEEP,KEEP
console-api,0.267646,0.007466,536870912,268435456,2.000000,0.030000,false,REDUCE,REDUCE,KEEP,KEEP
cve-enrichment,0.294821,0.000669,1073741824,536870912,1.000000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
sensor-components-registry,0.355448,0.047969,5242880000,3087007744,1.500000,0.120000,false,REDUCE,REDUCE,KEEP,KEEP
gcp-logs-ingress,0.359008,0.003507,3145728000,1879048192,1.000000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
mono-file-events,0.374509,0.095656,4194304000,2617245696,2.000000,0.320000,false,REDUCE,REDUCE,KEEP,KEEP
sr-api-testing-master,0.386790,0.004381,134217728,134217728,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
sr-api-testing-request-worker,0.434662,0.001260,268435456,201326592,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
images-upgrade-recommender,0.438721,0.001370,134217728,134217728,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
gcp-asset-collector,0.446779,0.009366,2147483648,1610612736,1.000000,0.020000,false,REDUCE,REDUCE,KEEP,KEEP
threats-coordinator,0.447668,0.005830,2516582400,1879048192,1.000000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
auth-internal,0.451199,0.012101,3221225472,2415919104,1.000000,0.020000,false,REDUCE,REDUCE,KEEP,KEEP
mono-sensor-api,0.458177,0.422044,3355443200,2550136832,0.200000,0.140000,false,REDUCE,REDUCE,KEEP,KEEP
webhook-management,0.489733,0.008349,838860800,738197504,0.200000,0.010000,false,REDUCE,REDUCE,KEEP,KEEP
